 순번 , 제안코드 , 과제유형 , 과제코드 , 과제명 , 착수일 , 완료일 , 완료평가결재일 , 연구비 , 총연구비 , 집행실적 , 총단계 , 현단계 , 연구부서 , 파견부서 , 완료당시 연구부서 , 완료평가 결재부서 , 연구책임자 , 활용부서 , 활용책임자 , 기술분야 , 활용예정일자 , 정성효과유형 , 사업분야 , 완료평가성과유형 , 생산성향상 , 원단위절감 , 제품개발/수입대체 , 자재수명향상 , 분석기술개발 , 부산물/폐기물재활용 , 신수요창출 , 실수율/품질향상 , 공정개선 , 에너지절감 , 장치제작개발 , 자동화에의한인력합리 , 환경비용절감 , 기타 , 정량효과유형 , 산출내역 , 총비용 , 년간기대이익 , 기술지속년수 , 연구기여도 , 총기대이익 , 투자효율 , 진행상태 
1,20209078, 현업과제 , 2020P193 , 3-2연주기 On-Line 면 Scarfer 용삭 Profile 및 용삭량 계측 시스템 개발 (1/1) , 2020-06-22 , 2023-12-29 , 2024-04-05 ,"1,147,892,941","1,147,892,941","1,360,379,547",1,1, 공정DX연구소 로봇AI연구그룹 ,  , 포스코홀딩스 , 친환경제조공정솔루션센터 , 이종학 , (광양)후판부 연주기술개발섹션 , 최현규 , (엔지니어링)제어계측-생산성향상기술 , 2024-02-26 , 기술축적 , 철강분야 , 정량효과 ,0,0,0,0,0,0,0,"140,000,000",0,0,0,0,0,0, 실수율/품질향상 ," ○ 과스카핑 소재 정상 스카핑될 시, 실평중량 계산값 : 25.0톤 / 100.4 * 100.8 = 25.1톤 ▶ 과스카핑 량 : 25.1톤 – 25.0톤 = 0.1톤 (100kg) ▶ 계산식 : 과스카핑량 x (‘20년 한계원가 – 제강 Dust 단광 內 Scale 단가(회수/배합비 고려)) = 1,629톤 x (424 – 340천원/톤) = 1.4억원/년 ","1,727,892,941","140,000,000",4,100,"560,000,000",0.32, 과제종결(완료평가) 
2,20209354, 미래기술과제 , 2020P094 , 고내식 AlZn 1470HPF 도금 공정 기술 개발 , 2020-03-23 , 2023-03-17 , 2023-03-09 ,"2,501,641,310","2,501,641,310","2,820,309,146",1,1, 제품연구소 표면연구그룹 ,  , 자동차소재연구소 자동차소재표면연구그룹 , 자동차소재연구소 자동차소재표면연구그룹 , 황현석 , 자동차소재연구소 자동차소재표면연구그룹 , 백두진 , (공정)표면처리공정-제품양산기술 , 2023-07-01 , 기술축적 , 철강분야 , 정량효과 ,0,0,0,0,0,0,"2,140,000,000",0,0,0,0,0,0,0, 신수요창출 , 신수요 창출 = (신규 수요 예상량) * 톤당 영업이익 = 2.3만톤 * 9.3만원/톤 = 21.4억 (* 신규수요예상량 : ‘25년 당사 Al 판매목표량 (23만톤) * 10% = 2.3만톤)) (* 당사판매가격 : ‘21년 AL-HPF강 ERP자료 ) ,"2,501,641,310","2,140,000,000",1.5,80,"3,210,000,000",1.28, 과제종결(완료평가) 
3,20209392, 현업과제 , 2020P200 , 3후판 압연구간 ACR-가속냉각 복합냉각 제어기술개발 , 2020-06-26 , 2023-04-28 , 2023-04-25 ,"1,361,390,114","1,361,390,114","955,500,969",1,1, 포스코홀딩스 ,  , 공정연구소 철강엔지니어링연구그룹 , 공정연구소 철강엔지니어링연구그룹 , 민관식 , (포항)후판부 , 홍헌호 , (공정)후판공정-제품양산기술 , 2024-07-01 , 기술축적 , 철강분야 , 정량효과 ,0,"300,000,000",0,0,0,0,0,"1,050,000,000",0,0,0,0,0,0," 실수율/품질향상,원단위절감 "," - ACR을 이용한 페라이트 미세화 효과로 X70의 성분원소 절감 : 3억원/년 . 기대효과 산출강종 성분계 : Mn 1.55 Nb 0.04 Ni 0.1 Mo 0.08 를 Mn 1.6 Nb 0.05 Ni/Mo 변경 . X70 판매량 (20t이하, 협폭재) 20,000톤/년, X70 성분원가 (Ni/Mo) 저감 3만원/톤 (3만~3.2만으로 보수적 설정) - 표면 저경도, 중심부 고강도부 동시 확보 HARD SPOT 보증 냉각기술 확보 : 10.5억원/년 . 판매량 29,000톤/년, 영업이익 72,250원/톤, 기여율 50% ","1,361,390,114","1,350,000,000",4,100,"5,400,000,000",3.97, 과제종결(완료평가) 
4,20213007, 현업과제 , 2021P511 , 2제강 표준 ATOM 설비 도출 및 상시 버블링 조업/운용 기술 개발 , 2021-12-13 , 2023-06-30 , 2023-07-07 ,"666,161,798","666,161,798","743,866,721",1,1, 공정DX연구소 제강연구그룹 ,  , 강재연구소 제강연구그룹 , 강재연구소 제강연구그룹 , 김성줄 , (포항)제강부 , 최웅렬 , (공정)제강공정-불량율저감기술 , 2024-01-01 , 기술축적 , 철강분야 , 정성효과 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,"666,161,798",0,  ,  ,0,0, 과제종결(완료평가) 
5,20213034, 미래기술과제 , 2021P492 , PosH690(STG800)을 적용한 PC 세그먼트 및 궤도슬래브 구조시스템 개발 , 2021-10-25 , 2023-02-03 , 2023-02-06 ,"927,605,000","927,605,000","858,658,303",1,1, 솔루션연구소 강건재솔루션연구그룹 ,  , 철강솔루션연구소 구조연구그룹 , 철강솔루션연구소 구조연구그룹 , 노명현 , 철강솔루션연구소 구조연구그룹 , 박찬희 , (이용)강구조 , 2024-05-01 , 철강신수요창출 , 철강분야 , 정성효과 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,"927,605,000",0,  ,  ,0,0, 과제종결(완료평가) 
6,20213056, 현업과제 , 2021P369 , STS2제강 AOD 노전 배재기 설치로 Skimmer 공정생략 프로세스 구축 , 2021-06-07 , 2023-03-31 , 2023-03-31 ,"1,612,528,500","1,612,528,500","1,334,968,529",1,1, 공정DX연구소 압연엔지니어링연구그룹 ,  , (포항)PosMC기술개발TF팀 , 공정연구소 철강엔지니어링연구그룹 , 박철민 , (포항)STS제강부 , 조용석 , (공정)STS공정-원가절감기술 , 2023-04-03 , 기술축적 , 철강분야 , 정량효과 ,0,"536,000,000",0,0,0,0,0,0,0,0,0,0,0,0, 원단위절감 ," Mn환원성 : +8,823원/톤, Cr환원성 : +4,784원/톤, 부원료증가 : -879원/톤, 열Loss저감금액 : +4,688원/톤, 총 경제성 : +17,416원/톤 총 경제성(원/톤) × 수입용강량(톤/Ch) × Seq' 內 노전배재 횟수(Ch/Seq) × 연간 304 Seq'(Seq/년) × Cr2O3 달성률(%) ☞ 17,416원/톤 × 99.2톤/Ch × 1Ch/Seq × 388Seq/년 × 80% = +536백만원/년 노전배재기 투자비 :+852백만원 ","1,612,528,500","536,000,000",4,50,"2,144,000,000",1.33, 과제종결(완료평가) 
7,20213148, 미래기술과제 , 2021P507 , 해상풍력 모노파일 S-N Curve 설계승인을 위한 EN-S355ML 피로성능 평가 , 2021-11-15 , 2023-06-02 , 2023-06-05 ,"332,224,000","332,224,000","288,350,335",1,1, 솔루션연구소 강건재솔루션연구그룹 ,  , 철강솔루션연구소 구조연구그룹 , 철강솔루션연구소 구조연구그룹 , 김종민 , 철강솔루션연구소 구조연구그룹 , 박찬희 , (이용)강구조 , 2024-12-31 , 철강신수요창출 , 철강분야 , 정량효과 ,0,0,0,0,0,0,"350,000,000",0,0,0,0,0,0,0, 신수요창출 , 연간기대이익 3.5억원 (= 내피로 EN-S355ML 신규수요창출 5천톤/년 x 영엽이익 70천원/톤) ,"332,224,000","350,000,000",4,50,"1,400,000,000",4.21, 과제종결(완료평가) 
8,20213186, 미래기술과제 , 2021P525 , AHSS 냉간 성형성 향상을 위한 윤활코팅 강판 개발 , 2021-12-27 , 2023-03-31 , 2023-03-24 ,"491,346,100","491,346,100","742,529,175",1,1, 제품연구소 표면연구그룹 ,  , 자동차소재연구소 자동차소재표면연구그룹 , 자동차소재연구소 자동차소재표면연구그룹 , 최하나 , 자동차소재연구소 자동차소재표면연구그룹 , 백두진 , (제품)표면처리제품-선도제품개발기술 , 2023-12-29 , 철강신수요창출 , 철강분야 , 정성효과 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,"491,346,100",0,  ,  ,0,0, 과제종결(완료평가) 
9,20213226, 미래기술과제 , 2021P313 , 고로 본체 설비 Smart 관리모델 개발 , 2021-04-05 , 2023-01-27 , 2023-02-01 ,"961,706,000","1,881,690,000","958,336,153",2,2, 공정DX연구소 압연엔지니어링연구그룹 ,  , 공정연구소 철강엔지니어링연구그룹 , 공정연구소 철강엔지니어링연구그룹 , 김정일 , 공정연구소 철강엔지니어링연구그룹 , 황종연 , (엔지니어링)열유체-Smart solution기술(AI/Big Data/IoT) , 2023-02-01 , 기술축적 , 철강분야 , 정량효과 ,0,"96,286,770",0,"1,087,219,688",0,0,0,0,0,0,0,0,0,0," 원단위절감,자재수명향상 "," 개수시 본체 투자비 386,567,000,000 이자비용 3% 개수연장 연수 1 연장된 고로수명 16 대상고로 수 3 설비 수명연장 1,087,219,688 기여율 1일 생산량 50% 2고로 3고로 4고로 비고/비율/합계 일생산량 5,581 12,628 12,603 1년평균 6시간 감산량 1,395 3,157 3,151 0.25 고정가공비 고려 34,882,418 78,922,442 78,768,681 96,286,770 ","961,706,000","1,183,506,458",4,50,"4,734,025,832",4.92, 과제종결(완료평가) 
10,20213251, 현업과제 , 2021P488 , STS제강 전기로 집진효율 향상기술 개발(2/2) , 2021-10-18 , 2023-06-30 , 2023-06-28 ,"3,086,455,800","3,629,515,800","3,202,955,888",2,2, 공정DX연구소 압연엔지니어링연구그룹 ,  , 공정연구소 철강엔지니어링연구그룹 , 공정연구소 철강엔지니어링연구그룹 , 김구화 , (포항)STS제강부 , 조용석 , (환경/에너지)환경-대기기술 , 2023-07-03 , 법/제도규제대응 , 철강분야 , 정성효과 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,"3,086,455,800",0,  ,  ,0,0, 과제종결(완료평가) 
